Agency,City,State,NTD ID,Organization Type,Reporter Type,Report Year,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Mode,Mode Name,TOS,Mode VOMS,Fare Revenues per Unlinked Passenger Trip,Fare Revenues per Unlinked Passenger Trip Questionable,Fare Revenues per Total Operating Expense (Recovery Ratio),Fare Revenues per Total Operating Expense (Recovery Ratio) Questionable,Cost per Hour,Cost per Hour Questionable,Passengers per Vehicle Revenue Hour,Passengers per Hour Questionable,Cost per Passenger,Cost per Passenger Questionable,Cost per Passenger Mile,Cost per Passenger Mile Questionable,Fare Revenues Earned,Fare Revenues Earned Questionable,Total Operating Expenses,Total Operating Expenses Questionable,Unlinked Passenger Trips,Unlinked Passenger Trips Questionable,Vehicle Revenue Hours,Vehicle Revenue Hours Questionable,Passenger Miles,Passenger Miles Questionable,Vehicle Revenue Miles,Vehicle Revenue Miles Questionable
Big Bend Transit,Tallahassee,FL,41153,Private-Non-Profit Corporation,Rural Reporter,2022,,,,73,VP,Vanpool,DO,6,1.28,,0.37,,28.93,,8,,3.48,,0.00,,17953,,48805,,14036,,1687,,0,,72590,
Jacksonville Transportation Authority,Jacksonville,FL,40040,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,42346,"Jacksonville, FL",1247374,208,MB,Bus,PT,7,0.75,,0.01,,125.63,,2,,63.16,,5.74,,16694,,1398547,,22143,,11132,,243573,,208725,
Jacksonville Transportation Authority,Jacksonville,FL,40040,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,42346,"Jacksonville, FL",1247374,208,CB,Commuter Bus,PT,6,2.81,,0.02,,116.33,,1,,175.38,,5.22,,11094,,693471,,3954,,5961,,132825,,163753,
Jacksonville Transportation Authority,Jacksonville,FL,40040,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,42346,"Jacksonville, FL",1247374,208,MG,Monorail/Automated Guideway,DO,3,0.00,,0.00,,794.75,,32,,24.85,,26.15,,0,,7268779,,292559,,9146,,277931,,98777,
Jacksonville Transportation Authority,Jacksonville,FL,40040,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,42346,"Jacksonville, FL",1247374,208,MB,Bus,DO,108,1.15,W,0.06,,177.97,,9,W,19.05,W,3.26,W,5881152,,97771190,,5131106,W,549374,,30014779,W,7652863,
Jacksonville Transportation Authority,Jacksonville,FL,40040,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,42346,"Jacksonville, FL",1247374,208,FB,Ferryboat,PT,1,3.43,,0.45,,639.74,,84,,7.58,,16.84,,1432549,,3162214,,417351,,4943,,187808,,8891,
"Blue Water Area Transportation Commission, dba: Blue Water Area Transit",Port Huron,MI,50148,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,71155,"Port Huron, MI",82226,207,MB,Bus,DO,9,0.33,,0.04,,110.97,,14,,7.85,,2.43,,146329,,3506495,,446485,,31599,,1441272,,392995,
"Blue Water Area Transportation Commission, dba: Blue Water Area Transit",Port Huron,MI,50148,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,71155,"Port Huron, MI",82226,207,DR,Demand Response,DO,34,6.26,,0.18,,108.92,,3,,34.44,,4.47,,1156875,,6366925,,184895,,58456,,1424514,,861617,
"Blue Water Area Transportation Commission, dba: Blue Water Area Transit",Port Huron,MI,50148,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,71155,"Port Huron, MI",82226,207,CB,Commuter Bus,DO,3,0.33,,0.01,,112.92,,2,,62.72,,2.21,,2058,,393857,,6280,,3488,,178540,,99717,
Scottsville Transit,Scottsville,KY,44944,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,2,MB,Bus,DO,2,0.00,,0.00,,77.03,,1,,53.69,,0.00,,0,,169773,,3162,,2204,,0,,27873,
"Blue Water Area Transportation Commission, dba: Blue Water Area Transit",Port Huron,MI,50148,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,71155,"Port Huron, MI",82226,207,DR,Demand Response,PT,161,8.39,,0.54,,44.80,,3,,15.64,,1.66,,1476897,,2752138,,176010,,61437,,1658638,,944488,
"City of Detroit , dba: Detroit Department of Transportation",Detroit,MI,50119,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,23824,"Detroit, MI",3776890,206,DR,Demand Response,PT,54,2.36,,0.12,,43.59,,2,,20.07,,1.98,,567097,,4828625,,240580,,110768,,2439184,,2235533,
"KI BOIS Community Action Foundation, Inc.",Stigler,OK,60172,Private-Non-Profit Corporation,Rural Reporter,2022,,,,180,DR,Demand Response,DO,180,0.83,,0.04,,43.42,,2,,20.37,,0.00,,421439,,10348160,,508053,,238326,,0,,3608579,
"City of Detroit , dba: Detroit Department of Transportation",Detroit,MI,50119,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,23824,"Detroit, MI",3776890,206,MB,Bus,DO,152,0.81,,0.07,,172.18,,15,,11.36,,2.40,W,6927289,,97343885,,8571877,,565361,,40557836,W,8748721,
"Southern California Regional Rail Authority, dba: Metrolink",Los Angeles,CA,90151,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,195,CR,Commuter Rail,PT,195,7.51,W,0.11,,844.68,,13,W,65.44,W,1.70,W,28194015,,245679874,,3754556,W,290856,,144137325,W,10684890,
"Central Arkansas Development Council (CADC/SCAT), dba: South Central Arkansas Transit",Benton,AR,60246,Private-Non-Profit Corporation,Rural Reporter,2022,50392,"Little Rock, AR",461864,193,DR,Demand Response,DO,193,7.56,,0.19,,56.14,,1,,38.94,,0.00,,2635989,,13575076,,348608,,241786,,0,,3945621,
Tampa Bay Area Regional Transit Authority,Tampa,FL,40200,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,86599,"Tampa--St. Petersburg, FL",2783045,189,VP,Vanpool,PT,189,6.40,,0.86,,31.04,,4,,7.40,,0.23,,1943425,,2247520,,303845,,72403,,9916271,,2908813,
Riverside Transit Agency,Riverside,CA,90031,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,75340,"Riverside--San Bernardino, CA",2276703,186,CB,Commuter Bus,DO,8,2.02,,0.06,,204.09,,6,,32.70,,0.95,,246488,,3996094,,122201,,19580,,4222704,,525907,
Riverside Transit Agency,Riverside,CA,90031,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,75340,"Riverside--San Bernardino, CA",2276703,186,MB,Bus,DO,79,0.76,,0.05,,154.34,,10,,15.30,,2.25,,2394213,,48509206,,3170571,,314309,,21587207,,4099097,
Riverside Transit Agency,Riverside,CA,90031,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,75340,"Riverside--San Bernardino, CA",2276703,186,DR,Demand Response,PT,53,2.78,,0.04,,106.79,,2,,65.49,,5.93,,421162,,9905154,,151243,,92753,,1669764,,1647811,
Riverside Transit Agency,Riverside,CA,90031,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,75340,"Riverside--San Bernardino, CA",2276703,186,MB,Bus,PT,46,1.12,,0.05,,97.15,,5,,20.65,,1.94,,748079,,13753332,,666012,,141568,,7105443,,2142364,
"Interurban Transit Partnership, dba: The Rapid",Grand Rapids,MI,50033,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,34300,"Grand Rapids, MI",605666,185,MB,Bus,DO,99,1.39,,0.19,,94.84,,13,,7.45,,1.76,,6709739,,35880074,,4814645,,378342,,20414095,,5138612,
"Interurban Transit Partnership, dba: The Rapid",Grand Rapids,MI,50033,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,34300,"Grand Rapids, MI",605666,185,DR,Demand Response,PT,62,4.05,,0.13,,72.82,,2,,30.64,,2.24,,902000,,6833344,,222988,,93842,,3046033,,1492007,
"Interurban Transit Partnership, dba: The Rapid",Grand Rapids,MI,50033,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,34300,"Grand Rapids, MI",605666,185,RB,Bus Rapid Transit,DO,6,0.45,,0.08,,91.97,,17,,5.44,,1.59,,204779,,2460270,,452131,,26750,,1546288,,330285,
Big Bend Transit,Tallahassee,FL,41153,Private-Non-Profit Corporation,Rural Reporter,2022,,,,73,MB,Bus,DO,6,1.00,,0.06,,39.18,,2,,18.03,,0.00,,28439,,512695,,28439,,13085,,0,,294742,
"Interurban Transit Partnership, dba: The Rapid",Grand Rapids,MI,50033,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,34300,"Grand Rapids, MI",605666,185,DR,Demand Response,DO,3,0.72,,0.01,,193.53,,2,,118.76,,35.40,,2187,,362096,,3049,,1871,,10228,,15060,
"Interurban Transit Partnership, dba: The Rapid",Grand Rapids,MI,50033,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,34300,"Grand Rapids, MI",605666,185,VP,Vanpool,DO,15,2.96,,0.25,,68.71,,6,,11.84,,0.60,,64517,,257599,,21760,,3749,,428232,,135883,
Denton County Transportation Authority,Lewisville,TX,60101,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,23500,"Denton--Lewisville, TX",429461,183,YR,Hybrid Rail,PT,8,1.59,,0.02,,447.73,,5,,92.10,,6.46,,278627,,16176981,,175637,,36131,,2505780,,764500,
Denton County Transportation Authority,Lewisville,TX,60101,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,23500,"Denton--Lewisville, TX",429461,183,VP,Vanpool,PT,77,3.83,,0.94,,32.08,,8,,4.09,,0.08,,883169,,941412,,230354,,29345,,11152064,,1585394,
Denton County Transportation Authority,Lewisville,TX,60101,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,23500,"Denton--Lewisville, TX",429461,183,DR,Demand Response,DO,7,11.25,,0.13,,170.98,,2,,87.52,,12.29,,280049,,2178935,,24896,,12744,,177225,,177606,
Denton County Transportation Authority,Lewisville,TX,60101,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,23500,"Denton--Lewisville, TX",429461,183,DR,Demand Response,PT,57,0.60,,0.03,,75.15,,4,,18.25,,4.12,,371439,,11221041,,614876,,149323,,2725207,,2560247,
Denton County Transportation Authority,Lewisville,TX,60101,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,23500,"Denton--Lewisville, TX",429461,183,MB,Bus,DO,31,2.84,,0.34,,145.75,,17,,8.38,,3.44,,3270852,,9640494,,1149887,,66145,,2805724,,780316,
Denton County Transportation Authority,Lewisville,TX,60101,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,23500,"Denton--Lewisville, TX",429461,183,DR,Demand Response,TX,3,3.65,,0.07,,85.29,,2,,49.10,,7.95,,22033,,296199,,6033,,3473,,37245,,37245,
METRO Regional Transit Authority,Akron,OH,50010,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,766,"Akron, OH",541879,182,MB,Bus,DO,97,0.68,,0.06,,149.30,,14,,11.01,,2.75,,2345779,,38200740,,3470765,,255865,,13914578,,3252489,
METRO Regional Transit Authority,Akron,OH,50010,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,766,"Akron, OH",541879,182,DR,Demand Response,DO,61,9.68,,0.10,,176.41,,2,,97.55,,17.05,,1265297,,12753642,,130737,,72294,,748105,,980216,
METRO Regional Transit Authority,Akron,OH,50010,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,766,"Akron, OH",541879,182,DR,Demand Response,PT,24,0.92,,0.03,,49.22,,2,,28.95,,5.00,,52170,,1640717,,56668,,33333,,328342,,504159,
City of Madison,Madison,WI,50005,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,53200,"Madison, WI",450305,181,DR,Demand Response,TX,27,7.61,,0.21,,83.61,,2,,36.52,,7.66,,702399,,3372498,,92341,,40337,,440467,,401069,
City of Madison,Madison,WI,50005,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,53200,"Madison, WI",450305,181,MB,Bus,DO,154,1.08,,0.18,,147.51,,24,,6.16,,1.76,,8987891,,51022930,,8287021,,345899,,28921703,,4321376,
Hillsborough Area Regional Transit Authority,Tampa,FL,40041,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,86599,"Tampa--St. Petersburg, FL",2783045,174,MB,Bus,DO,99,0.76,W,0.08,,165.63,,18,W,9.20,W,1.80,W,7302433,,88776977,,9644403,W,535992,,49254823,W,6544375,
Hillsborough Area Regional Transit Authority,Tampa,FL,40041,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,86599,"Tampa--St. Petersburg, FL",2783045,174,DR,Demand Response,DO,45,4.02,,0.08,,79.75,,2,,53.02,,5.74,,742186,,9796490,,184771,,122835,,1707085,,1708365,
Hillsborough Area Regional Transit Authority,Tampa,FL,40041,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,86599,"Tampa--St. Petersburg, FL",2783045,174,SR,Streetcar Rail,DO,4,0.00,W,0.00,,123.65,,49,W,2.51,W,1.83,W,0,,2780595,,1107584,W,22487,,1516343,W,123616,
Hillsborough Area Regional Transit Authority,Tampa,FL,40041,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,86599,"Tampa--St. Petersburg, FL",2783045,174,DR,Demand Response,TX,26,4.00,,0.26,,50.80,,3,,15.27,,3.48,,123108,,469826,,30777,,9248,,134983,,134983,
"Municipality of Anchorage, dba: Public Transportation",Anchorage,AK,00012,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,2305,"Anchorage, AK",249252,168,VP,Vanpool,PT,88,7.38,,1.27,,33.70,,6,,5.83,,0.14,,1400709,,1105911,,189684,,32813,,7799636,,1582484,
"Municipality of Anchorage, dba: Public Transportation",Anchorage,AK,00012,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,2305,"Anchorage, AK",249252,168,MB,Bus,DO,47,1.21,,0.09,,161.35,,13,,12.80,,2.99,W,2921052,,30885551,,2412726,,191421,,10342197,W,2280229,
"Municipality of Anchorage, dba: Public Transportation",Anchorage,AK,00012,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,2305,"Anchorage, AK",249252,168,DR,Demand Response,PT,33,4.55,,0.10,,104.72,,2,,45.20,,7.42,,587650,,5843154,,129261,,55798,,787529,,719394,
"City of El Paso, dba: Sun Metro",El Paso,TX,60006,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,27253,"El Paso, TX--NM",854584,167,DR,Demand Response,PT,61,2.18,,0.06,,79.54,,2,,38.57,,4.10,,449277,,7953140,,206203,,99985,,1938963,,1728944,
"City of El Paso, dba: Sun Metro",El Paso,TX,60006,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,27253,"El Paso, TX--NM",854584,167,SR,Streetcar Rail,DO,4,0.00,,0.00,,409.26,,12,,33.57,,17.38,,0,,1590795,,47384,,3887,,91507,,26249,
"Southeast Missouri Transportation, Inc.",Fredericktown,MO,70091,Private-Non-Profit Corporation,Rural Reporter,2022,,,,167,DR,Demand Response,DO,167,0.19,,0.01,,38.48,,2,,25.33,,0.00,,50547,,6665314,,263182,,173229,,0,,2517446,
"City of El Paso, dba: Sun Metro",El Paso,TX,60006,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,27253,"El Paso, TX--NM",854584,167,MB,Bus,DO,102,0.82,,0.09,,121.94,,14,,8.86,,1.48,,4021398,,43691972,,4928858,,358301,,29548345,,5132169,
"Michigan Department of Transportation, dba: MichiVan",,MI,50193,Private Provider Reporting on Behalf of a Public Entity,Full Reporter,2022,23824,"Detroit, MI",3776890,166,VP,Vanpool,PT,166,7.71,,1.07,,27.36,,4,,7.24,,0.17,,1668116,,1566177,,216287,,57240,,9438854,,2831058,
Capital Area Transportation Authority,Lansing,MI,50036,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,47719,"Lansing, MI",318300,163,MB,Bus,DO,87,0.90,,0.13,,135.55,,19,,6.96,,2.52,,4572796,,35476882,,5094518,,261729,,14060870,,3402179,
South Central Transit Authority,Lancaster,PA,30202,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,47530,"Lancaster--Manheim, PA",394530,163,MB,Bus,DO,75,1.06,,0.13,,91.66,,11,,8.16,,1.85,,3040489,,23366622,,2862184,,254919,,12650853,,3261988,
South Central Transit Authority,Lancaster,PA,30202,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,47530,"Lancaster--Manheim, PA",394530,163,DR,Demand Response,PT,58,8.80,,0.19,,90.58,,2,,45.38,,3.83,,1689312,,8707712,,191875,,96133,,2276139,,1615347,
Capital Area Transportation Authority,Lansing,MI,50036,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,47719,"Lansing, MI",318300,163,DR,Demand Response,PT,47,0.54,,0.01,,94.13,,2,,48.92,,6.37,,104056,,9389594,,191950,,99752,,1474771,,1646272,
South Central Transit Authority,Lancaster,PA,30202,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,47530,"Lancaster--Manheim, PA",394530,163,DR,Demand Response,DO,30,4.97,,0.16,,88.85,,3,,31.56,,5.26,,553650,,3517990,,111482,,39593,,668830,,551064,
Capital Area Transportation Authority,Lansing,MI,50036,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,47719,"Lansing, MI",318300,163,DR,Demand Response,DO,27,4.22,,0.07,,135.49,,2,,61.18,,10.35,,474565,,6872219,,112332,,50721,,664232,,701652,
Capital Area Transportation Authority,Lansing,MI,50036,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,47719,"Lansing, MI",318300,163,MB,Bus,PT,2,1.17,,0.01,,178.87,,2,,93.41,,21.12,,500,,39888,,427,,223,,1889,,4770,
New Orleans Regional Transit Authority,New Orleans,LA,60032,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,62677,"New Orleans, LA",963212,161,MB,Bus,DO,95,0.92,,0.08,,162.65,,15,,10.90,,2.77,,6789815,,80140434,,7352374,,492706,,28884811,,5747849,
New Orleans Regional Transit Authority,New Orleans,LA,60032,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,62677,"New Orleans, LA",963212,161,DR,Demand Response,DO,42,2.07,,0.02,,175.99,,2,,91.10,,10.50,,390248,,17212223,,188935,,97802,,1639323,,1037001,
New Orleans Regional Transit Authority,New Orleans,LA,60032,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,62677,"New Orleans, LA",963212,161,FB,Ferryboat,PT,3,1.20,,0.10,,936.46,,77,,12.09,,24.18,,1019330,,10271039,,849429,,10968,,424715,,21937,
New Orleans Regional Transit Authority,New Orleans,LA,60032,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,62677,"New Orleans, LA",963212,161,SR,Streetcar Rail,DO,21,0.69,,0.09,,202.63,,26,,7.69,,3.30,,2481517,,27609288,,3589947,,136255,,8364577,,780415,
Clark County Public Transportation Benefit Area Authority,Vancouver,WA,00024,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,71317,"Portland, OR--WA",2104238,159,MB,Bus,DO,95,0.61,,0.05,,180.85,,14,,12.51,,2.66,,2334126,,47490144,,3796727,,262598,,17823584,,3726686,
Clark County Public Transportation Benefit Area Authority,Vancouver,WA,00024,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,71317,"Portland, OR--WA",2104238,159,DR,Demand Response,DO,48,0.82,,0.01,,191.87,,2,,82.09,,11.05,,151715,,15211238,,185296,,79277,,1376737,,1361528,
Indianapolis and Marion County Public Transportation,Indianapolis,IN,50050,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,41212,"Indianapolis, IN",1699881,159,DR,Demand Response,PT,41,3.60,,0.04,,168.07,,2,,95.41,,9.13,,537557,,14229639,,149143,,84665,,1558843,,1560965,
Clark County Public Transportation Benefit Area Authority,Vancouver,WA,00024,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,71317,"Portland, OR--WA",2104238,159,VP,Vanpool,DO,16,4.65,,0.34,,72.21,,5,,13.66,,0.57,,105077,,308857,,22608,,4277,,543831,,142089,
Indianapolis and Marion County Public Transportation,Indianapolis,IN,50050,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,41212,"Indianapolis, IN",1699881,159,RB,Bus Rapid Transit,DO,13,0.97,,0.10,,187.05,,19,,9.85,,2.72,W,952631,,9634784,,978340,,51508,,3540990,W,715899,
Indianapolis and Marion County Public Transportation,Indianapolis,IN,50050,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,41212,"Indianapolis, IN",1699881,159,MB,Bus,DO,104,0.94,,0.05,,158.66,,9,,18.01,,3.94,W,4345145,,83078279,,4613954,,523619,,21094277,W,7063747,
Indianapolis and Marion County Public Transportation,Indianapolis,IN,50050,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,41212,"Indianapolis, IN",1699881,159,MB,Bus,PT,1,0.97,,0.01,,109.84,,1,,75.87,,39.06,W,9605,,748449,,9865,,6814,,19163,W,114157,
"City of Albuquerque, dba: ABQRIDE",Albuquerque,NM,60019,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,1171,"Albuquerque, NM",769837,154,MB,Bus,DO,87,0.21,,0.02,,138.96,,12,,11.53,,3.54,,738682,,40436564,,3506302,,290996,,11426299,,3924705,
"City of Albuquerque, dba: ABQRIDE",Albuquerque,NM,60019,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,1171,"Albuquerque, NM",769837,154,DR,Demand Response,DO,54,0.32,,0.00,,133.19,,2,,71.72,,8.33,,49617,,11208298,,156288,,84150,,1345703,,1408661,
"City of Albuquerque, dba: ABQRIDE",Albuquerque,NM,60019,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,1171,"Albuquerque, NM",769837,154,RB,Bus Rapid Transit,DO,13,0.02,,0.01,,99.53,,24,,4.11,,1.10,,38268,,6535431,,1591093,,65660,,5941571,,806518,
"Rural Transit Enterprises Coordinated, Inc.",Mount Vernon,KY,40941,Private-Non-Profit Corporation,Rural Reporter,2022,,,,153,DR,Demand Response,DO,153,0.60,,0.02,,52.40,,2,,28.07,,0.00,,245188,,11393907,,405904,,217453,,0,,3956800,
Des Moines Area Regional Transit Authority,Des Moines,IA,70010,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,23743,"Des Moines, IA",542486,152,MB,Bus,DO,81,1.51,,0.14,,123.47,,11,,10.97,,2.80,,3657300,,26641858,,2428751,,215771,,9530236,,3067909,
Des Moines Area Regional Transit Authority,Des Moines,IA,70010,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,23743,"Des Moines, IA",542486,152,VP,Vanpool,DO,48,3.95,,0.35,,47.38,,4,,11.39,,0.26,,295163,,851651,,74785,,17973,,3318638,,809099,
Des Moines Area Regional Transit Authority,Des Moines,IA,70010,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,23743,"Des Moines, IA",542486,152,DR,Demand Response,DO,21,7.16,,0.13,,105.10,,2,,55.82,,7.05,,576991,,4499395,,80599,,42811,,637768,,685022,
Des Moines Area Regional Transit Authority,Des Moines,IA,70010,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,23743,"Des Moines, IA",542486,152,DR,Demand Response,TX,2,0.66,,0.03,,101.44,,4,,23.56,,3.79,,2985,,107222,,4551,,1057,,28310,,27400,
"Salem Area Mass Transit District, dba: Salem-Keizer Transit or Cherriots",Salem,OR,00025,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,78229,"Salem, OR",268331,149,MB,Bus,DO,53,0.83,,0.05,,175.69,,11,,15.87,,5.18,W,1688365,,32358719,,2039555,,184184,,6241038,W,2268251,
"Salem Area Mass Transit District, dba: Salem-Keizer Transit or Cherriots",Salem,OR,00025,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,78229,"Salem, OR",268331,149,DR,Demand Response,PT,43,7.08,,0.11,,111.59,,2,,62.49,,11.48,,509055,,4492706,,71900,,40262,,391398,,487544,
"Salem Area Mass Transit District, dba: Salem-Keizer Transit or Cherriots",Salem,OR,00025,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,78229,"Salem, OR",268331,149,VP,Vanpool,PT,42,5.85,,1.08,,34.94,,6,,5.42,,0.21,,257946,,238952,,44088,,6838,,1138557,,299722,
"Salem Area Mass Transit District, dba: Salem-Keizer Transit or Cherriots",Salem,OR,00025,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,78229,"Salem, OR",268331,149,MB,Bus,PT,11,2.16,,0.07,,89.56,,3,,30.71,,2.17,,136837,,1945736,,63368,,21726,,897073,,451728,
"County of Volusia, dba: VOTRAN",Daytona Beach,FL,40032,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,22612,"Daytona Beach--Palm Coast--Port Orange, FL",402126,147,DR,Demand Response,TX,7,2.67,,0.07,,87.75,,2,,40.43,,5.33,,54741,,828049,,20481,,9436,,155234,,152217,
"County of Volusia, dba: VOTRAN",Daytona Beach,FL,40032,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,22612,"Daytona Beach--Palm Coast--Port Orange, FL",402126,147,MB,Bus,DO,62,0.96,,0.12,,84.90,,11,,7.80,,1.86,,1971947,,16019542,,2052987,,188677,,8622545,,2896262,
Habersham County Transit,Clarkesville,GA,40994,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,2,DR,Demand Response,DO,2,1.59,,0.05,,61.60,,2,,32.95,,0.00,,6423,,133295,,4045,,2164,,0,,30946,
"County of Volusia, dba: VOTRAN",Daytona Beach,FL,40032,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,22612,"Daytona Beach--Palm Coast--Port Orange, FL",402126,147,DR,Demand Response,DO,52,2.50,,0.06,,73.54,,2,,39.85,,4.72,,414555,,6620205,,166128,,90021,,1402686,,1498292,
"County of Volusia, dba: VOTRAN",Daytona Beach,FL,40032,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,22612,"Daytona Beach--Palm Coast--Port Orange, FL",402126,147,DR,Demand Response,PT,16,2.39,,0.10,,50.33,,2,,25.03,,3.94,,122894,,1286688,,51412,,25567,,326849,,358691,
Green Mountain Transit Authority,Burlington,VT,10066,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,11755,"Burlington, VT",118032,134,DR,Demand Response,DO,36,19.33,,0.45,,93.58,,2,,43.08,,2.97,,1551263,,3458116,,80269,,36955,,1165296,,1071200,
"County of Volusia, dba: VOTRAN",Daytona Beach,FL,40032,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,22612,"Daytona Beach--Palm Coast--Port Orange, FL",402126,147,VP,Vanpool,PT,10,4.96,,1.08,,19.39,,4,,4.59,,0.10,,94443,,87487,,19052,,4511,,911172,,229063,
"City of Fresno, dba: Fresno Area Express",Fresno,CA,90027,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,31843,"Fresno, CA",717589,145,DR,Demand Response,PT,40,1.08,,0.02,,111.12,,2,,55.79,,8.15,,144834,,7516475,,134724,,67640,,922820,,798928,
"City of Fresno, dba: Fresno Area Express",Fresno,CA,90027,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,31843,"Fresno, CA",717589,145,MB,Bus,DO,105,0.48,W,0.06,,129.44,,17,W,7.82,W,2.75,W,3337360,,54609841,,6985740,W,421889,,19863695,W,4788756,
Long Beach Transit,Long Beach,CA,90023,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,144,DR,Demand Response,PT,8,1.70,,0.03,,86.02,,1,,57.45,,12.65,,34994,,1182237,,20578,,13743,,93461,,122953,
Long Beach Transit,Long Beach,CA,90023,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,144,MB,Bus,DO,136,0.40,,0.07,,171.34,,29,,5.82,,1.94,,6923822,,101173374,,17389283,,590493,,52197593,,5819512,
Omnitrans,San Bernardino,CA,90029,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,75340,"Riverside--San Bernardino, CA",2276703,143,MB,Bus,DO,99,1.42,,0.11,,143.29,,11,,12.67,,2.33,,6899824,,61371917,,4844815,,428311,,26284815,,5752876,
